name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;438;0;320;3159;1309;3159;1119;0
header;210;171;210;210;1836;210;1836;171
A;1000;159;1000;161;1002;161;1002;159
A;785;300;785;301;785;301;785;300
B;1017;843;1017;870;1037;870;1037;843
B;754;1227;754;1245;769;1245;769;1227
C;1023;1502;1023;1530;1043;1530;1043;1502
A;1192;1831;1192;1841;1200;1841;1200;1831
D;1033;2167;1033;2194;1055;2194;1055;2167
A;867;2196;867;2207;874;2207;874;2196
B;644;2229;644;2247;658;2247;658;2229
B;399;2450;399;2469;413;2469;413;2450
A;695;2793;695;2794;697;2794;697;2793
